Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.927029128491213,-2.49725463876793,7.32187384114641,1.08498820068206,11.8033826648298,1.86475446570947,17.1435343251686,11.0992199166219,-3.21136429567835,8.24714425211255,2.00252214522922,-0.964803329240652,-1.66641641520391,-0.345802496981889,-0.253593781811986,-1.68857659267114,0.932833388709597,-5.3646659309623,-22.965295860551
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Albania,ALB,..,3.64864854723071,0.795840071093252,-1.01680217228552,-3.30749720231945,-0.290595348322142,3.61465554406624,-2.74949637948961,-3.26252233446822,6.9236172850875,-11.187905298961,-27.5668208369982,-6.62255121235502,10.2299493531342,8.96976165855091,14.0244959298688,9.78017987930293,-10.3611049709411,9.51648443822282,13.6080691237129,7.63002243937019,9.31439713939355,4.85047533419143,5.9242115424577,5.9565695961824,6.06788243935723,6.57292298236362,6.78722893588666,8.3281084229243,4.05313986380152,4.22308382721044,2.82164245514005,1.58487281451019,1.18723435286199,1.98538809180384,2.51682705417127,3.48029321671386,3.89774060601475,4.27632565399514,2.52389372255597,-2.92582095677083,9.52602704130273
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Algeria,DZA,-2.28805663474552,-0.257337989307544,2.9487290674965,1.92432382219008,2.08838138542038,0.235780267990009,-2.88917131778267,-3.66200969348607,-3.68262443658264,1.68827898356776,-1.68292794980542,-3.52816786244772,-0.538303712526769,-4.26893546208915,-2.96691420674064,1.82803697685721,2.28047201241705,-0.585445318575395,3.52432195672942,1.76686671662729,2.35458026894383,1.59249661529877,4.18516010399695,5.75804170531535,2.84249363853606,4.46524506524297,0.244873737894551,1.73036933083573,0.664881575775752,-0.208351661495513,1.69217009969687,0.964977575127364,1.41022666272693,0.797967812424986,1.76594123137923,1.6466572591571,1.16314757745835,-0.663171193402832,-0.707950481173555,-0.840856657898996,-6.72994165075228,1.79841972865751
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Angola,AGO,..,-7.73834787700565,-3.52844122911962,0.498296559473289,2.24177897016472,-0.163475063809827,-0.704614525529294,0.564519377037541,2.61497482878168,-3.27491256774344,-6.62640931330293,-2.31250177865971,-8.84829361715117,-26.3491236736712,-1.85062104574317,11.2784223654184,9.82545782161561,3.75551939227412,1.31392610614915,-1.06272488645489,-0.234945632722756,0.838227322043267,9.93730724887301,-0.466060748026067,7.12707656082286,11.0095655732264,7.61421920316513,9.93510870721505,7.16304601212539,-2.79728998355418,1.01592225919099,-0.347039840755357,4.53602443589062,1.10188714325056,1.02826242552598,-2.64641999388039,-6.01178347017563,-3.63344577878377,-4.67662168598582,-4.01491707909747,-8.6354462123582,-2.05071669551312
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,-0.0775227575679907,-6.67658724564203,-2.28515041480823,2.73513003775881,0.0213797875689323,-6.61309327708733,4.56111400269241,1.16468993134897,-2.57039183252373,-8.52791141060089,-3.87738988305726,7.58999966385119,6.45007313090611,6.74749737225402,4.42012078486435,-4.11688080061714,4.20496731858427,6.82332109239341,2.65434759734458,-4.49211212893599,-1.90698749835167,-5.45379697848054,-11.8459503938227,7.71922963663721,7.92815705080419,7.73249699851691,6.93498173764449,7.91621057164458,3.02978540664043,-6.86795522506981,9.84429639847724,4.78868313859435,-2.14528444981812,1.26568517537076,-3.57858050983289,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.96956249866219,-10.8126108522948,9.35717585932072
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,-13.1911466098311,-41.0986502468511,-5.70826945343418,8.01292054439229,8.53854221211164,6.63186556026021,4.18897957452076,8.3220908055096,4.41225284912647,7.15357818453764,10.8379761719997,14.2242928485335,14.7738362754582,11.161649451067,14.5914558579391,13.976488640084,14.5361003719158,7.65145505823371,-13.5457916827765,2.82448188304339,5.3190183518382,7.7353708344903,3.76412964842652,4.01064593319273,3.60636907832207,0.646135942752821,8.02439704883481,5.76988214903176,8.20864949959488,-6.70404931836521,6.25422006797622
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Australia,AUS,1.78726761638859,1.73808252004829,1.54890361982196,-3.55348639457499,3.3435773588233,3.88513510400308,2.47322456533657,1.01099434127158,4.04107228004848,2.13174042314532,2.05479381137212,-1.6447530474528,-0.689506014930075,3.1259863420148,2.98429779522998,2.73649928553792,2.60379028051277,2.79451834154317,3.57581858683417,3.81438537004641,2.71882936967131,0.739613357802241,2.81732541280495,1.9322128506921,3.10828675546351,1.90568336819068,1.36351402929009,1.90115067736041,1.51351019988101,-0.207409289676164,0.628836598169386,0.978468035158599,2.10380811026087,0.828325557835214,1.06033708469104,0.693065822727618,1.13842433965326,0.604963407727865,1.34828275238704,0.665151144847243,-1.27835805936483,2.10571122890686
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Austria,AUT,1.73137779245161,-0.398620517722108,1.93812150521796,3.13962807993062,0.0575730929909071,2.45056567143844,2.23640235489538,1.29304527917799,3.14974650846239,3.42010178477146,3.55354764697123,2.41398645387723,0.97609224004664,-0.298754361000036,2.0087619437808,2.51091269369834,2.21143493269341,1.97797590805702,3.46782994124915,3.35504466142362,3.12743665014771,0.88025909788611,1.15267633135774,0.450946527234535,2.09971116889712,1.54987731693588,2.94341785870446,3.39173082681461,1.14330711888604,-4.01634004211772,1.59257712849987,2.57644831811446,0.222450576943075,-0.562298942527448,-0.122370667337563,-0.111540189504495,0.892469139632297,1.55072408627153,1.92771305987296,1.06696970619677,-6.8415447032182,4.10231717627012
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,-2.01238310352751,-23.7612021557258,-24.2568641648081,-20.7755585486808,-12.8134294386306,0.280213889570334,4.78428235238688,8.96088676293809,6.46158407611676,10.1910292674816,9.05182203818752,8.62535106573642,9.37646036430615,8.30153847939059,26.6600947700296,33.0304877689447,23.5906854137047,8.45745012555597,7.05060251949079,3.80649102062563,-1.19584296227708,0.816684128241235,4.45002009882025,1.47593694077869,-0.103121364891479,-4.17717168005237,-0.778416126232784,0.624486167739661,1.63585048130741,-4.95270173869491,5.13515857058169
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bahrain,BHR,..,-9.03825312415351,-10.7684403775292,2.7614848039548,1.38552543653974,-8.08183496222983,-2.37282654164933,6.52576255286024,3.28704631329111,-3.04839598332819,0.992712756857642,7.49120496952158,3.02347372347651,9.07623044352641,-3.52857225027373,0.593021767804359,0.848609081803488,-0.0483967911194583,1.69827354989994,1.33902082529016,2.44215746058789,-0.149721120011094,0.853377100184872,2.20824336370546,-0.103815979252317,-1.33644959520269,-1.10535302232421,1.05540051566699,-0.434970498581649,-3.46843446100006,1.39489073188075,2.11544569879072,2.63895139436892,2.34759588274413,0.413894139030546,-1.35238152136513,0.0672330100929202,0.913957633052064,0.0167861091434816,1.69872414350014,-3.86011163684792,3.21765877991808
